Week,Ticker,Action,Reason
2026-06-20,SUZLON.NS,BUY,Signal
2026-06-20,COFORGE.NS,BUY,Signal
2026-06-20,IDBI.NS,BUY,Signal
2026-06-20,JSWINFRA.NS,BUY,Signal
