Ticker,Price,Score,Margin
YESBANK.NS,25.40999984741211,0.24562010540067275,0.22045
LAURUSLABS.NS,1412.9000244140625,0.18728263348567167,0.13046
SUZLON.NS,59.20000076293945,0.17018953989223679,0.18966
COFORGE.NS,1463.300048828125,0.16456459158456285,0.094840005
IDBI.NS,82.9800033569336,0.157187893755572,0.43376
JSWINFRA.NS,308.1499938964844,0.14240179780229859,0.28412
PRESTIGE.NS,1497.300048828125,0.12162851668835908,0.094239995
BHARATFORG.NS,2041.4000244140625,0.10449966272656239,0.06422
ABCAPITAL.NS,375.8999938964844,0.10300789453508677,0.116450004
INDUSINDBK.NS,947.4500122070312,0.09478269062237646,0.05158
PHOENIXLTD.NS,1881.0999755859375,0.09370957151010856,0.27671
