Date,Portfolio_Value,Cash,Total_Equity
2026-06-09,48134.0008,51579.7503,99713.7511
2026-06-10,47184.8494,51579.7503,98764.5997
2026-06-11,47024.7102,51579.7503,98604.4605
2026-06-12,47834.7304,51579.7503,99414.4807
2026-06-15,47741.0706,51579.7503,99320.8209
2026-06-16,47513.7691,51579.7503,99093.5194
2026-06-17,47869.161,51579.7503,99448.9113
2026-06-18,48241.29,51579.7503,99821.0403
2026-06-19,48591.9,51579.7503,100171.6503
2026-06-22,98365.7420463562,2047.6201171875,100413.3621635437
